episode,reward,avg_reward,epsilon,key,door,goal
10,-0.36,-0.34,0.99,1,1,0
20,-0.18,-0.24,0.98,1,1,0
30,-0.38,-0.33,0.97,1,1,0
40,-0.18,-0.17,0.961,1,0,0
50,-0.44,-0.15,0.951,0,0,0
60,-0.28,-0.3,0.942,1,0,0
70,-0.3,-0.28,0.932,1,1,0
80,-0.16,-0.27,0.923,1,1,0
90,-0.16,-0.16,0.914,1,0,0
100,0.28,-0.17,0.905,1,1,1
110,-0.26,-0.09,0.896,1,0,0
120,-0.26,-0.03,0.887,1,0,0
130,-0.32,-0.16,0.878,0,0,0
140,-0.26,-0.24,0.869,0,0,0
150,-0.18,-0.13,0.861,1,0,0
160,-0.2,-0.24,0.852,0,0,0
170,-0.28,-0.2,0.844,1,0,0
180,-0.2,-0.08,0.835,1,0,0
190,-0.18,-0.18,0.827,1,1,0
200,-0.26,-0.19,0.819,1,0,0
210,-0.2,-0.06,0.81,1,1,0
220,-0.2,-0.18,0.802,1,0,0
230,0.94,-0.08,0.794,1,1,1
240,-0.28,-0.06,0.787,0,0,0
250,-0.22,0.09,0.779,0,0,0
260,-0.08,-0.11,0.771,0,0,0
270,-0.24,-0.07,0.763,0,0,0
280,-0.18,-0.2,0.756,1,1,0
290,-0.18,-0.01,0.748,0,0,0
300,-0.1,-0.17,0.741,1,1,0
310,-0.1,-0.13,0.733,0,0,0
320,-0.18,0.04,0.726,0,0,0
330,-0.02,-0.07,0.719,1,1,0
340,-0.12,-0.12,0.712,1,1,0
350,-0.12,-0.13,0.705,0,0,0
360,-0.1,-0.18,0.698,0,0,0
370,-0.2,0.13,0.691,0,0,0
380,-0.2,-0.06,0.684,0,0,0
390,-0.24,-0.11,0.677,1,0,0
400,-0.32,-0.17,0.67,1,1,0
410,-0.18,0.15,0.664,1,0,0
420,-0.1,0.03,0.657,0,0,0
430,0.66,-0.07,0.65,1,1,1
440,-0.28,-0.04,0.644,0,0,0
450,0.16,0.24,0.637,1,1,1
460,-0.18,0.08,0.631,1,0,0
470,-0.1,0.32,0.625,0,0,0
480,-0.22,-0.05,0.619,1,0,0
490,0.5,0.04,0.612,1,1,1
500,0.32,0.15,0.606,1,1,1
510,-0.06,0.11,0.6,0,0,0
520,-0.16,-0.1,0.594,1,1,0
530,-0.24,-0.02,0.588,1,0,0
540,-0.24,0.08,0.583,1,1,0
550,-0.14,-0.09,0.577,0,0,0
560,-0.16,0.08,0.571,0,0,0
570,0.0,0.07,0.565,0,0,0
580,-0.02,-0.01,0.56,0,0,0
590,0.02,0.0,0.554,0,0,0
600,-0.22,-0.06,0.549,0,0,0
610,-0.1,-0.05,0.543,1,1,0
620,-0.06,-0.07,0.538,0,0,0
630,0.04,-0.02,0.532,1,1,0
640,0.2,0.04,0.527,1,1,1
650,-0.16,0.06,0.522,1,0,0
660,-0.26,-0.0,0.517,1,0,0
670,-0.06,-0.0,0.512,1,0,0
680,-0.04,-0.01,0.506,1,0,0
690,-0.1,0.08,0.501,1,0,0
700,-0.08,-0.01,0.496,0,0,0
710,-0.22,-0.04,0.491,1,1,0
720,-0.04,0.02,0.487,0,0,0
730,-0.02,0.01,0.482,0,0,0
740,-0.16,0.02,0.477,1,0,0
750,0.36,0.07,0.472,1,1,1
760,0.04,-0.02,0.467,1,1,0
770,-0.08,0.1,0.463,1,1,0
780,-0.18,0.22,0.458,1,1,0
790,-0.06,0.04,0.454,1,0,0
800,-0.16,0.13,0.449,1,0,0
810,-0.22,0.07,0.445,0,0,0
820,-0.16,-0.04,0.44,1,0,0
830,-0.14,0.2,0.436,1,1,0
840,-0.08,0.2,0.432,1,0,0
850,-0.06,0.14,0.427,1,1,0
860,0.02,-0.01,0.423,1,0,0
870,-0.12,0.01,0.419,1,0,0
880,0.36,0.19,0.415,1,1,1
890,0.2,0.12,0.41,1,1,1
900,0.76,0.26,0.406,1,1,1
910,0.02,0.31,0.402,1,1,0
920,0.84,0.43,0.398,1,1,1
930,0.88,0.31,0.394,1,1,1
940,0.82,0.36,0.39,1,1,1
950,-0.06,0.33,0.387,1,1,0
960,0.9,0.2,0.383,1,1,1
970,-0.08,0.29,0.379,1,1,0
980,-0.02,0.04,0.375,1,1,0
990,0.32,0.27,0.371,1,1,1
1000,0.66,0.18,0.368,1,1,1
1010,0.5,0.09,0.364,1,1,1
1020,0.6,0.25,0.36,1,1,1
1030,0.02,0.07,0.357,1,1,0
1040,-0.08,0.35,0.353,1,0,0
1050,-0.0,0.12,0.35,1,1,0
1060,0.46,0.21,0.346,1,1,1
1070,-0.02,0.24,0.343,1,1,0
1080,-0.06,0.02,0.339,1,0,0
1090,0.04,0.11,0.336,1,0,0
1100,0.36,0.12,0.333,1,1,1
1110,0.06,-0.03,0.329,1,1,0
1120,-0.02,0.11,0.326,1,0,0
1130,-0.02,-0.01,0.323,1,0,0
1140,0.02,0.01,0.32,1,1,0
1150,-0.1,-0.0,0.316,1,0,0
1160,0.72,0.07,0.313,1,1,1
1170,0.02,0.11,0.31,1,1,0
1180,-0.0,0.01,0.307,1,1,0
1190,-0.02,0.02,0.304,1,0,0
1200,-0.04,0.19,0.301,1,1,0
1210,-0.02,0.04,0.298,1,0,0
1220,-0.14,0.06,0.295,1,0,0
1230,-0.1,0.11,0.292,1,0,0
1240,-0.16,0.05,0.289,1,0,0
1250,0.52,0.19,0.286,1,1,1
1260,1.04,0.42,0.283,1,1,1
1270,-0.02,0.19,0.281,1,1,0
1280,1.0,0.29,0.278,1,1,1
1290,0.02,0.11,0.275,1,1,0
1300,-0.08,0.0,0.272,1,0,0
1310,-0.06,0.18,0.27,1,0,0
1320,0.28,0.55,0.267,1,1,1
1330,-0.0,0.22,0.264,1,0,0
1340,0.04,0.31,0.262,1,1,0
1350,-0.02,0.25,0.259,1,1,0
1360,-0.06,0.26,0.256,1,0,0
1370,0.34,0.49,0.254,1,1,1
1380,0.46,0.35,0.251,1,1,1
1390,0.7,0.55,0.249,1,1,1
1400,0.0,0.08,0.246,0,0,0
1410,0.7,0.16,0.244,1,1,1
1420,-0.02,0.06,0.242,0,0,0
1430,0.08,0.03,0.239,1,0,0
1440,-0.08,0.08,0.237,1,0,0
1450,0.06,-0.01,0.234,1,0,0
1460,0.02,0.13,0.232,1,0,0
1470,-0.04,-0.02,0.23,1,0,0
1480,-0.04,-0.0,0.227,1,1,0
1490,0.02,0.11,0.225,1,1,0
1500,-0.14,-0.06,0.223,1,0,0
